TF-IDF Weight,Word2Vec Weight,BiLSTM Weight,Transformer Weight,Accuracy,Macro Precision,Macro Recall,Macro F1
0.3,0.3,0.1,0.3,0.7060208543558695,0.6864553983284221,0.6693472392594704,0.6762834571085599
0.35,0.35,0.2,0.1,0.7060208543558695,0.6816213654818604,0.6720545660930602,0.6762663114514752
0.3,0.35,0.25,0.1,0.7080390178271107,0.6820632597945933,0.6716185000417406,0.6762659843079453
0.6,0.05,0.3,0.05,0.7056844937773293,0.681600648554493,0.6717737970477312,0.6762257228395958
0.5,0.05,0.1,0.35,0.7053481331987891,0.6904699987644334,0.667193273673959,0.6762084664845808
0.35,0.35,0.1,0.2,0.7066935755129499,0.6825503344385667,0.6714630015384875,0.6761612213149928
0.25,0.15,0.3,0.3,0.7073662966700303,0.6920368246874262,0.6657163708599436,0.6761501528417814
0.25,0.15,0.2,0.4,0.7036663303060882,0.694769548438662,0.6645511242425801,0.676149639557062
0.4,0.25,0.3,0.05,0.7063572149344097,0.6812339855894693,0.6719698560694877,0.6761442841507886
0.3,0.3,0.3,0.1,0.7063572149344097,0.6835230803364253,0.6704008352259465,0.6761385210905815
0.2,0.35,0.25,0.2,0.7077026572485705,0.6856198329981411,0.66923367616416,0.676097255152704
0.4,0.35,0.1,0.15,0.708711738984191,0.6788487345035159,0.6740628567756609,0.6760821915959402
0.25,0.35,0.1,0.3,0.7053481331987891,0.6865375069819086,0.6689453273999952,0.6760749261483237
0.35,0.1,0.35,0.2,0.7056844937773293,0.6886901316242687,0.6670070299478856,0.6759909273002531
0.3,0.1,0.35,0.25,0.7060208543558695,0.6912292112370779,0.6656939444082054,0.6759703271780027
0.5,0.15,0.3,0.05,0.7063572149344097,0.6815929453901763,0.6713346070707724,0.6759259373672327
0.3,0.15,0.35,0.2,0.7053481331987891,0.6892688465081077,0.6666222351153829,0.675904786447096
0.5,0.05,0.35,0.1,0.7056844937773293,0.6841980016811904,0.6695098226362527,0.6759024599102196
0.35,0.4,0.1,0.15,0.7083753784056509,0.678859071579042,0.6737762631669189,0.6759017496884595
0.25,0.2,0.35,0.2,0.7060208543558695,0.6883878722654143,0.6670877707189089,0.6758924531652547
0.35,0.15,0.35,0.15,0.7060208543558695,0.6863289938323802,0.6681755291818887,0.6758759697602996
0.2,0.2,0.3,0.3,0.7077026572485705,0.6921346708116128,0.6652773525958673,0.6758549042553241
0.45,0.2,0.3,0.05,0.7053481331987891,0.6814869988237129,0.6712098885075621,0.6758308807300181
0.45,0.1,0.35,0.1,0.7053481331987891,0.6843884805616904,0.669219309852682,0.6758027998053157
0.5,0.25,0.05,0.2,0.7063572149344097,0.6813437305866097,0.6717229060948976,0.6757837930457278
0.35,0.25,0.05,0.35,0.7040026908846283,0.6881807427115691,0.6679676278407031,0.6757459890414848
0.3,0.4,0.15,0.15,0.7073662966700303,0.6802129577598446,0.6723676770412518,0.6757456866333632
0.2,0.15,0.3,0.35,0.7073662966700303,0.6941028405846803,0.6641300612765476,0.6756944757078174
0.55,0.1,0.3,0.05,0.7063572149344097,0.6808983203135801,0.6713903924651659,0.6756846721579652
0.35,0.3,0.3,0.05,0.7063572149344097,0.6809586253579278,0.6713133991560889,0.6756486403252511
0.5,0.35,0.1,0.05,0.7070299360914901,0.6755667996761819,0.6762351281408197,0.6756392019358797
0.35,0.1,0.15,0.4,0.7036663303060882,0.6909362040220959,0.665834991805037,0.6755966019538757
0.2,0.25,0.25,0.3,0.7080390178271107,0.6908709796219278,0.6655544958144117,0.6755542317266546
0.4,0.2,0.3,0.1,0.7056844937773293,0.6826104138170238,0.6699950041916427,0.675542200249266
0.35,0.3,0.25,0.1,0.7073662966700303,0.681814863800109,0.6703637288213452,0.6753914077602597
0.2,0.4,0.2,0.2,0.7066935755129499,0.6831077760451318,0.6697481257744938,0.6753783285094851
0.15,0.35,0.2,0.3,0.7063572149344097,0.6876518761123499,0.6667890761599159,0.675288454766433
0.35,0.25,0.1,0.3,0.7050117726202489,0.6850791929494966,0.6686123987870571,0.6752702079455086
0.45,0.05,0.35,0.15,0.7046754120417087,0.6852279473518432,0.6677987944896464,0.6752465194624272
